filename,label
IMG_0151_0000.jpg,0.7748
IMG_0151_0001.jpg,0.7693
IMG_0151_0002.jpg,0.7668
IMG_0151_0003.jpg,0.7576
IMG_0151_0004.jpg,0.7517
IMG_0151_0005.jpg,0.7526
IMG_0151_0006.jpg,0.7508
IMG_0151_0007.jpg,0.7493
IMG_0151_0008.jpg,0.7483
IMG_0151_0009.jpg,0.7357
IMG_0151_0010.jpg,0.7188
IMG_0151_0011.jpg,0.6956
IMG_0151_0012.jpg,0.6474
IMG_0151_0013.jpg,0.3839
IMG_0151_0014.jpg,0.3707
IMG_0151_0015.jpg,0.3907
IMG_0151_0016.jpg,0.3983
IMG_0151_0017.jpg,0.4300
IMG_0151_0018.jpg,0.4670
IMG_0151_0019.jpg,0.4952
IMG_0151_0020.jpg,0.5198
IMG_0151_0021.jpg,0.5177
IMG_0151_0022.jpg,0.4971
IMG_0151_0023.jpg,0.4981
IMG_0151_0024.jpg,0.4907
IMG_0151_0025.jpg,0.4708
IMG_0151_0026.jpg,0.4579
IMG_0151_0027.jpg,0.4380
IMG_0151_0028.jpg,0.4347
IMG_0151_0029.jpg,0.4218
IMG_0151_0030.jpg,0.4146
IMG_0151_0031.jpg,0.4069
IMG_0151_0032.jpg,0.3978
IMG_0151_0033.jpg,0.3947
IMG_0151_0034.jpg,0.3902
IMG_0151_0035.jpg,0.3737
IMG_0151_0036.jpg,0.3701
IMG_0151_0037.jpg,0.3687
IMG_0151_0038.jpg,0.3545
IMG_0151_0039.jpg,0.3586
IMG_0151_0040.jpg,0.3432
IMG_0151_0041.jpg,0.3436
IMG_0151_0042.jpg,0.3349
IMG_0151_0043.jpg,0.3205
IMG_0151_0044.jpg,0.3010
IMG_0151_0045.jpg,0.2915
IMG_0151_0046.jpg,0.2834
IMG_0151_0047.jpg,0.2612
IMG_0151_0048.jpg,0.2535
IMG_0151_0049.jpg,0.2261
IMG_0151_0050.jpg,0.2209
IMG_0151_0051.jpg,0.1982
IMG_0151_0052.jpg,0.2049
IMG_0151_0053.jpg,0.1856
IMG_0151_0054.jpg,0.1673
IMG_0151_0055.jpg,0.1569
IMG_0151_0056.jpg,0.1356
IMG_0151_0057.jpg,0.1465
IMG_0151_0058.jpg,0.1220
IMG_0151_0059.jpg,0.1181
IMG_0151_0060.jpg,0.1117
IMG_0151_0061.jpg,0.1007
IMG_0151_0062.jpg,0.1091
IMG_0151_0063.jpg,0.1030
IMG_0151_0064.jpg,0.0977
IMG_0151_0065.jpg,0.1214
IMG_0151_0066.jpg,0.1249
IMG_0151_0067.jpg,0.1564
IMG_0151_0068.jpg,0.1462
IMG_0151_0069.jpg,0.1521
IMG_0151_0070.jpg,0.1470
IMG_0151_0071.jpg,0.1357
IMG_0151_0072.jpg,0.1469
IMG_0151_0073.jpg,0.1217
IMG_0151_0074.jpg,0.1563
IMG_0152_0000.jpg,0.9002
IMG_0152_0001.jpg,0.9142
IMG_0152_0002.jpg,0.9279
IMG_0152_0003.jpg,0.9335
IMG_0152_0004.jpg,0.9050
IMG_0152_0005.jpg,0.9238
IMG_0152_0006.jpg,0.9220
IMG_0152_0007.jpg,0.9042
IMG_0152_0008.jpg,0.9242
IMG_0152_0009.jpg,0.8717
IMG_0152_0010.jpg,0.7790
IMG_0152_0011.jpg,0.7163
IMG_0152_0012.jpg,0.7034
IMG_0152_0013.jpg,0.6795
IMG_0152_0014.jpg,0.6531
IMG_0152_0015.jpg,0.6358
IMG_0152_0016.jpg,0.6095
IMG_0152_0017.jpg,0.5947
IMG_0152_0018.jpg,0.5920
IMG_0152_0019.jpg,0.5834
IMG_0152_0020.jpg,0.5669
IMG_0152_0021.jpg,0.5524
IMG_0152_0022.jpg,0.5546
IMG_0152_0023.jpg,0.5401
IMG_0152_0024.jpg,0.5363
IMG_0152_0025.jpg,0.5253
IMG_0152_0026.jpg,0.5048
IMG_0152_0027.jpg,0.4895
IMG_0152_0028.jpg,0.4890
IMG_0152_0029.jpg,0.4704
IMG_0152_0030.jpg,0.4540
IMG_0152_0031.jpg,0.4398
IMG_0152_0032.jpg,0.4404
IMG_0152_0033.jpg,0.4284
IMG_0152_0034.jpg,0.4307
IMG_0152_0035.jpg,0.4197
IMG_0152_0036.jpg,0.4087
IMG_0152_0037.jpg,0.3940
IMG_0152_0038.jpg,0.3798
IMG_0152_0039.jpg,0.3482
IMG_0152_0040.jpg,0.3362
IMG_0152_0041.jpg,0.3069
IMG_0152_0042.jpg,0.3208
IMG_0152_0043.jpg,0.2915
IMG_0152_0044.jpg,0.2585
IMG_0152_0045.jpg,0.2061
IMG_0152_0046.jpg,0.2132
IMG_0152_0047.jpg,0.1934
